[2023-05-30 05:20:10] Stage 1: Training with all clients
[2023-05-30 05:22:04] Round: 1, Test Loss: -14276.117328643799, Accuracy: 0.8425
[2023-05-30 05:23:42] Round: 2, Test Loss: -19811.683307647705, Accuracy: 0.8653
[2023-05-30 05:25:38] Round: 3, Test Loss: -21869.530448913574, Accuracy: 0.8826
[2023-05-30 05:27:38] Round: 4, Test Loss: -22887.861610412598, Accuracy: 0.8911
[2023-05-30 05:29:37] Round: 5, Test Loss: -23511.25172805786, Accuracy: 0.9008
[2023-05-30 05:32:02] Round: 6, Test Loss: -23940.68548965454, Accuracy: 0.9093
[2023-05-30 05:34:34] Round: 7, Test Loss: -24285.989513397217, Accuracy: 0.9174
[2023-05-30 05:37:30] Round: 8, Test Loss: -24594.12998199463, Accuracy: 0.9248
[2023-05-30 05:40:26] Round: 9, Test Loss: -24874.43705368042, Accuracy: 0.9318
[2023-05-30 05:43:33] Round: 10, Test Loss: -25149.20782470703, Accuracy: 0.9348
[2023-05-30 05:43:33] Stage 2: Training with m clients
[2023-05-30 05:43:33] Epoch 1, num_clients = 5
[2023-05-30 05:43:50] Round: 1, Test Loss: -1870.4732284545898, Accuracy: 0.4864
[2023-05-30 05:44:15] Round: 2, Test Loss: -6010.788767814636, Accuracy: 0.7409
[2023-05-30 05:44:42] Round: 3, Test Loss: -10197.401714324951, Accuracy: 0.7984
[2023-05-30 05:45:05] Round: 4, Test Loss: -13094.722835540771, Accuracy: 0.8328
[2023-05-30 05:45:28] Round: 5, Test Loss: -15189.905429840088, Accuracy: 0.8454
[2023-05-30 05:45:48] Round: 6, Test Loss: -16651.572471618652, Accuracy: 0.853
[2023-05-30 05:46:00] Round: 7, Test Loss: -17840.405311584473, Accuracy: 0.8564
[2023-05-30 05:46:11] Round: 8, Test Loss: -18698.48007583618, Accuracy: 0.858
[2023-05-30 05:46:21] Round: 9, Test Loss: -19517.185119628906, Accuracy: 0.8518
[2023-05-30 05:46:46] Round: 10, Test Loss: -19451.299884796143, Accuracy: 0.866
[2023-05-30 05:46:47] Epoch 1, num_clients = 10
[2023-05-30 05:47:40] Round: 1, Test Loss: -1013.5984814167023, Accuracy: 0.5184
[2023-05-30 05:48:19] Round: 2, Test Loss: -4515.018264293671, Accuracy: 0.761
[2023-05-30 05:48:39] Round: 3, Test Loss: -8591.716592788696, Accuracy: 0.7986
[2023-05-30 05:48:58] Round: 4, Test Loss: -11570.921834945679, Accuracy: 0.8328
[2023-05-30 05:49:28] Round: 5, Test Loss: -13608.04899597168, Accuracy: 0.8443
[2023-05-30 05:50:10] Round: 6, Test Loss: -15104.411155700684, Accuracy: 0.8525
[2023-05-30 05:50:42] Round: 7, Test Loss: -16268.257064819336, Accuracy: 0.8604
[2023-05-30 05:51:05] Round: 8, Test Loss: -17185.291088104248, Accuracy: 0.8662
[2023-05-30 05:51:27] Round: 9, Test Loss: -17870.01477432251, Accuracy: 0.8599
[2023-05-30 05:51:45] Round: 10, Test Loss: -17893.684551239014, Accuracy: 0.8599
[2023-05-30 05:51:45] Epoch 1, num_clients = 15
[2023-05-30 05:52:32] Round: 1, Test Loss: -1214.0195899009705, Accuracy: 0.4047
[2023-05-30 05:53:34] Round: 2, Test Loss: -4793.520860671997, Accuracy: 0.7698
[2023-05-30 05:54:21] Round: 3, Test Loss: -9411.855644226074, Accuracy: 0.8279
[2023-05-30 05:54:51] Round: 4, Test Loss: -12764.557842254639, Accuracy: 0.8461
[2023-05-30 05:55:46] Round: 5, Test Loss: -15100.103012084961, Accuracy: 0.8524
[2023-05-30 05:56:41] Round: 6, Test Loss: -16793.795379638672, Accuracy: 0.8596
[2023-05-30 05:57:21] Round: 7, Test Loss: -18046.047325134277, Accuracy: 0.8638
[2023-05-30 05:58:10] Round: 8, Test Loss: -18958.429332733154, Accuracy: 0.8607
[2023-05-30 05:59:03] Round: 9, Test Loss: -19004.526805877686, Accuracy: 0.8658
[2023-05-30 05:59:57] Round: 10, Test Loss: -19733.162002563477, Accuracy: 0.8711
[2023-05-30 05:59:57] Epoch 5, num_clients = 5
[2023-05-30 06:01:07] Round: 1, Test Loss: -14196.614894866943, Accuracy: 0.863
[2023-05-30 06:02:30] Round: 2, Test Loss: -19433.58882522583, Accuracy: 0.8731
[2023-05-30 06:03:39] Round: 3, Test Loss: -21304.61477279663, Accuracy: 0.8934
[2023-05-30 06:05:09] Round: 4, Test Loss: -22612.782440185547, Accuracy: 0.9093
[2023-05-30 06:06:04] Round: 5, Test Loss: -23300.55198287964, Accuracy: 0.917
[2023-05-30 06:07:30] Round: 6, Test Loss: -23931.312423706055, Accuracy: 0.9189
[2023-05-30 06:08:34] Round: 7, Test Loss: -24238.64687728882, Accuracy: 0.9271
[2023-05-30 06:09:57] Round: 8, Test Loss: -24922.083602905273, Accuracy: 0.9374
[2023-05-30 06:11:20] Round: 9, Test Loss: -25450.79416656494, Accuracy: 0.9403
[2023-05-30 06:11:52] Round: 10, Test Loss: -25148.221996307373, Accuracy: 0.9431
[2023-05-30 06:11:52] Epoch 5, num_clients = 10
[2023-05-30 06:12:55] Round: 1, Test Loss: -13864.77691078186, Accuracy: 0.8354
[2023-05-30 06:13:56] Round: 2, Test Loss: -19305.219551086426, Accuracy: 0.8541
[2023-05-30 06:14:57] Round: 3, Test Loss: -21250.032611846924, Accuracy: 0.8749
[2023-05-30 06:15:58] Round: 4, Test Loss: -22274.48202896118, Accuracy: 0.883
[2023-05-30 06:16:55] Round: 5, Test Loss: -22946.995582580566, Accuracy: 0.8989
