[2023-05-30 07:43:27] Stage 1: Training with all clients
[2023-05-30 07:44:59] Round: 1, Test Loss: -15779.790348052979, Accuracy: 0.8539
[2023-05-30 07:46:26] Round: 2, Test Loss: -20788.51317214966, Accuracy: 0.8712
[2023-05-30 07:47:50] Round: 3, Test Loss: -22666.95749282837, Accuracy: 0.8888
[2023-05-30 07:49:13] Round: 4, Test Loss: -23661.412899017334, Accuracy: 0.9
[2023-05-30 07:50:37] Round: 5, Test Loss: -24537.24201965332, Accuracy: 0.9122
[2023-05-30 07:52:00] Round: 6, Test Loss: -25239.2198677063, Accuracy: 0.9237
[2023-05-30 07:53:17] Round: 7, Test Loss: -25396.342849731445, Accuracy: 0.9307
[2023-05-30 07:54:36] Round: 8, Test Loss: -25919.0128326416, Accuracy: 0.9386
[2023-05-30 07:55:58] Round: 9, Test Loss: -26103.496044158936, Accuracy: 0.9427
[2023-05-30 07:57:20] Round: 10, Test Loss: -26494.52001953125, Accuracy: 0.9447
[2023-05-30 07:57:21] Stage 2: Training with m clients
[2023-05-30 07:57:21] Epoch 1, num_clients = 5
[2023-05-30 07:57:27] Round: 1, Test Loss: -1870.4732284545898, Accuracy: 0.4864
[2023-05-30 07:57:33] Round: 2, Test Loss: -6010.788767814636, Accuracy: 0.7409
[2023-05-30 07:57:39] Round: 3, Test Loss: -10197.401714324951, Accuracy: 0.7984
[2023-05-30 07:57:44] Round: 4, Test Loss: -13094.722835540771, Accuracy: 0.8328
[2023-05-30 07:57:50] Round: 5, Test Loss: -15189.905429840088, Accuracy: 0.8454
[2023-05-30 07:57:55] Round: 6, Test Loss: -16651.572471618652, Accuracy: 0.853
[2023-05-30 07:58:01] Round: 7, Test Loss: -17840.405311584473, Accuracy: 0.8564
[2023-05-30 07:58:06] Round: 8, Test Loss: -18698.48007583618, Accuracy: 0.858
[2023-05-30 07:58:12] Round: 9, Test Loss: -19517.185119628906, Accuracy: 0.8518
[2023-05-30 07:58:17] Round: 10, Test Loss: -19451.299884796143, Accuracy: 0.866
[2023-05-30 07:58:17] Epoch 1, num_clients = 10
[2023-05-30 07:58:28] Round: 1, Test Loss: -1013.5984814167023, Accuracy: 0.5184
[2023-05-30 07:58:38] Round: 2, Test Loss: -4515.018264293671, Accuracy: 0.761
[2023-05-30 07:58:48] Round: 3, Test Loss: -8591.716592788696, Accuracy: 0.7986
[2023-05-30 07:58:59] Round: 4, Test Loss: -11570.921834945679, Accuracy: 0.8328
[2023-05-30 07:59:10] Round: 5, Test Loss: -13608.04899597168, Accuracy: 0.8443
[2023-05-30 07:59:22] Round: 6, Test Loss: -15104.411155700684, Accuracy: 0.8525
[2023-05-30 07:59:33] Round: 7, Test Loss: -16268.257064819336, Accuracy: 0.8604
[2023-05-30 07:59:43] Round: 8, Test Loss: -17185.291088104248, Accuracy: 0.8662
[2023-05-30 07:59:52] Round: 9, Test Loss: -17870.01477432251, Accuracy: 0.8599
[2023-05-30 08:00:01] Round: 10, Test Loss: -4221.3005838394165, Accuracy: 0.7398
[2023-05-30 08:00:01] Epoch 1, num_clients = 15
[2023-05-30 08:00:16] Round: 1, Test Loss: -1214.0195899009705, Accuracy: 0.4047
[2023-05-30 08:00:29] Round: 2, Test Loss: -4793.520860671997, Accuracy: 0.7698
[2023-05-30 08:00:42] Round: 3, Test Loss: -9411.855644226074, Accuracy: 0.8279
