[2023-05-30 15:35:10] Stage 1: Training with all clients
[2023-05-30 15:36:44] Round: 1, Test Loss: -14276.117328643799, Accuracy: 0.8425
[2023-05-30 15:38:07] Round: 2, Test Loss: -19811.683307647705, Accuracy: 0.8653
[2023-05-30 15:39:32] Round: 3, Test Loss: -21869.530448913574, Accuracy: 0.8826
[2023-05-30 15:40:55] Round: 4, Test Loss: -22887.861610412598, Accuracy: 0.8911
[2023-05-30 15:42:20] Round: 5, Test Loss: -23511.25172805786, Accuracy: 0.9008
[2023-05-30 15:43:48] Round: 6, Test Loss: -23940.68548965454, Accuracy: 0.9093
[2023-05-30 15:45:11] Round: 7, Test Loss: -24285.989513397217, Accuracy: 0.9174
[2023-05-30 15:46:33] Round: 8, Test Loss: -24594.12998199463, Accuracy: 0.9248
[2023-05-30 15:48:00] Round: 9, Test Loss: -24874.43705368042, Accuracy: 0.9318
[2023-05-30 15:49:32] Round: 10, Test Loss: -25149.20782470703, Accuracy: 0.9348
[2023-05-30 15:49:32] Stage 2: Training with m clients
[2023-05-30 15:49:32] Epoch 1, num_clients = 5
[2023-05-30 15:49:39] Round: 1, Test Loss: -1892.4483499526978, Accuracy: 0.4818
[2023-05-30 15:49:45] Round: 2, Test Loss: -6041.435170173645, Accuracy: 0.7433
[2023-05-30 15:49:50] Round: 3, Test Loss: -10214.839488983154, Accuracy: 0.8093
[2023-05-30 15:49:56] Round: 4, Test Loss: -13159.861320495605, Accuracy: 0.8311
[2023-05-30 15:50:01] Round: 5, Test Loss: -15241.230257034302, Accuracy: 0.8445
[2023-05-30 15:50:07] Round: 6, Test Loss: -16763.82500076294, Accuracy: 0.8456
[2023-05-30 15:50:12] Round: 7, Test Loss: -17912.262294769287, Accuracy: 0.8605
[2023-05-30 15:50:18] Round: 8, Test Loss: -18776.730491638184, Accuracy: 0.8607
[2023-05-30 15:50:23] Round: 9, Test Loss: -19512.758995056152, Accuracy: 0.8601
[2023-05-30 15:50:28] Round: 10, Test Loss: -19480.468502044678, Accuracy: 0.8606
[2023-05-30 15:50:28] Epoch 1, num_clients = 10
[2023-05-30 15:50:39] Round: 1, Test Loss: -1021.2168962955475, Accuracy: 0.5318
[2023-05-30 15:50:49] Round: 2, Test Loss: -4521.1671667099, Accuracy: 0.7446
[2023-05-30 15:51:01] Round: 3, Test Loss: -8587.798665046692, Accuracy: 0.81
[2023-05-30 15:51:12] Round: 4, Test Loss: -11541.502979278564, Accuracy: 0.8381
[2023-05-30 15:51:23] Round: 5, Test Loss: -13585.292755126953, Accuracy: 0.8398
[2023-05-30 15:51:34] Round: 6, Test Loss: -15088.159978866577, Accuracy: 0.8513
[2023-05-30 15:51:43] Round: 7, Test Loss: -16233.983783721924, Accuracy: 0.8576
[2023-05-30 15:51:53] Round: 8, Test Loss: -17114.577632904053, Accuracy: 0.8574
[2023-05-30 15:52:03] Round: 9, Test Loss: -17141.720962524414, Accuracy: 0.8666
[2023-05-30 15:52:13] Round: 10, Test Loss: -17835.26121902466, Accuracy: 0.8723
[2023-05-30 15:52:13] Epoch 1, num_clients = 15
[2023-05-30 15:52:28] Round: 1, Test Loss: -1223.3313071727753, Accuracy: 0.4025
[2023-05-30 15:52:42] Round: 2, Test Loss: -4824.423711776733, Accuracy: 0.7698
[2023-05-30 15:52:56] Round: 3, Test Loss: -9429.005004882812, Accuracy: 0.8288
[2023-05-30 15:53:10] Round: 4, Test Loss: -12781.969423294067, Accuracy: 0.8441
[2023-05-30 15:53:23] Round: 5, Test Loss: -15094.70625114441, Accuracy: 0.8532
[2023-05-30 15:53:37] Round: 6, Test Loss: -16753.886001586914, Accuracy: 0.8571
[2023-05-30 15:53:51] Round: 7, Test Loss: -17988.99178314209, Accuracy: 0.8618
[2023-05-30 15:54:05] Round: 8, Test Loss: -18939.266036987305, Accuracy: 0.8642
[2023-05-30 15:54:18] Round: 9, Test Loss: -19709.56622695923, Accuracy: 0.8685
[2023-05-30 15:54:32] Round: 10, Test Loss: -20292.68302154541, Accuracy: 0.8734
[2023-05-30 15:54:32] Epoch 5, num_clients = 5
[2023-05-30 15:54:56] Round: 1, Test Loss: -14108.789924621582, Accuracy: 0.8576
[2023-05-30 15:55:18] Round: 2, Test Loss: -19394.127460479736, Accuracy: 0.8794
[2023-05-30 15:55:40] Round: 3, Test Loss: -21385.222660064697, Accuracy: 0.8934
[2023-05-30 15:56:01] Round: 4, Test Loss: -22500.695610046387, Accuracy: 0.8984
[2023-05-30 15:56:23] Round: 5, Test Loss: -23354.40996170044, Accuracy: 0.9087
[2023-05-30 15:56:45] Round: 6, Test Loss: -24044.384239196777, Accuracy: 0.9129
[2023-05-30 15:57:07] Round: 7, Test Loss: -24598.61827468872, Accuracy: 0.921
[2023-05-30 15:57:29] Round: 8, Test Loss: -25167.85126876831, Accuracy: 0.9282
[2023-05-30 15:57:50] Round: 9, Test Loss: -25681.28179168701, Accuracy: 0.9306
[2023-05-30 15:58:12] Round: 10, Test Loss: -26178.6693649292, Accuracy: 0.9353
[2023-05-30 15:58:12] Epoch 5, num_clients = 10
[2023-05-30 15:58:56] Round: 1, Test Loss: -13847.866579055786, Accuracy: 0.8369
[2023-05-30 15:59:38] Round: 2, Test Loss: -19295.588371276855, Accuracy: 0.8573
[2023-05-30 16:00:20] Round: 3, Test Loss: -21329.30442047119, Accuracy: 0.878
[2023-05-30 16:01:02] Round: 4, Test Loss: -22372.54372406006, Accuracy: 0.8903
[2023-05-30 16:01:45] Round: 5, Test Loss: -22985.36229324341, Accuracy: 0.8965
[2023-05-30 16:02:27] Round: 6, Test Loss: -23517.930141448975, Accuracy: 0.9109
[2023-05-30 16:03:09] Round: 7, Test Loss: -23979.06887435913, Accuracy: 0.9203
[2023-05-30 16:03:51] Round: 8, Test Loss: -24349.37564086914, Accuracy: 0.9233
[2023-05-30 16:04:30] Round: 9, Test Loss: -24679.909244537354, Accuracy: 0.9292
[2023-05-30 16:05:12] Round: 10, Test Loss: -25004.104663848877, Accuracy: 0.9354
[2023-05-30 16:05:12] Epoch 5, num_clients = 15
[2023-05-30 16:06:16] Round: 1, Test Loss: -14018.326442718506, Accuracy: 0.8352
[2023-05-30 16:07:17] Round: 2, Test Loss: -19665.418880462646, Accuracy: 0.8714
[2023-05-30 16:08:19] Round: 3, Test Loss: -21759.64678955078, Accuracy: 0.886
[2023-05-30 16:09:20] Round: 4, Test Loss: -22793.286067962646, Accuracy: 0.896
[2023-05-30 16:10:22] Round: 5, Test Loss: -23409.665172576904, Accuracy: 0.9046
[2023-05-30 16:11:23] Round: 6, Test Loss: -23869.040199279785, Accuracy: 0.9169
[2023-05-30 16:12:25] Round: 7, Test Loss: -24267.43293762207, Accuracy: 0.9251
[2023-05-30 16:13:26] Round: 8, Test Loss: -24592.908199310303, Accuracy: 0.929
[2023-05-30 16:14:28] Round: 9, Test Loss: -24915.27865600586, Accuracy: 0.9365
[2023-05-30 16:15:30] Round: 10, Test Loss: -25233.109035491943, Accuracy: 0.9401
[2023-05-30 16:15:30] Epoch 10, num_clients = 5
[2023-05-30 16:16:13] Round: 1, Test Loss: -18968.75535583496, Accuracy: 0.869
[2023-05-30 16:16:54] Round: 2, Test Loss: -22583.56506729126, Accuracy: 0.8883
[2023-05-30 16:17:36] Round: 3, Test Loss: -24238.268436431885, Accuracy: 0.9021
[2023-05-30 16:18:18] Round: 4, Test Loss: -25478.84312057495, Accuracy: 0.9194
